"","County","Lake","Date","Month","Day","Year","Station","TP","TN","CHL","SECCHI_ft","SECCHI_2","Color","Cond_uS","Cond_mS","Lake_County"
"38","Alachua","Alice","07/25/1998",7,25,1998,2,538,600,18,3.1,NA,NA,NA,NA,"Alice Alachua"
"39","Alachua","Alice","07/25/1998",7,25,1998,3,726,850,23,3.2,NA,NA,NA,NA,"Alice Alachua"
"40","Alachua","Alice","08/23/1998",8,23,1998,1,456,810,21,3.5,NA,NA,NA,NA,"Alice Alachua"
"41","Alachua","Alice","08/23/1998",8,23,1998,2,436,550,19,3.5,NA,NA,NA,NA,"Alice Alachua"
"42","Alachua","Alice","08/23/1998",8,23,1998,3,454,580,23,3.5,NA,NA,NA,NA,"Alice Alachua"
"43","Alachua","Alice","10/18/1998",10,18,1998,1,423,430,10,4.3,NA,NA,NA,NA,"Alice Alachua"
"44","Alachua","Alice","10/18/1998",10,18,1998,2,415,420,11,4.9,NA,NA,NA,NA,"Alice Alachua"
"45","Alachua","Alice","10/18/1998",10,18,1998,3,422,420,12,4.5,NA,NA,NA,NA,"Alice Alachua"
"46","Alachua","Alice","11/22/1998",11,22,1998,1,454,600,18,3.5,NA,NA,NA,NA,"Alice Alachua"
"47","Alachua","Alice","11/22/1998",11,22,1998,2,453,590,18,3.8,NA,NA,NA,NA,"Alice Alachua"
"48","Alachua","Alice","11/22/1998",11,22,1998,3,444,590,18,3.8,NA,NA,NA,NA,"Alice Alachua"
"49","Alachua","Alice","12/18/1998",12,18,1998,1,485,610,11,5.8,NA,NA,NA,NA,"Alice Alachua"
"50","Alachua","Alice","12/18/1998",12,18,1998,2,496,580,10,6.7,NA,NA,NA,NA,"Alice Alachua"
"51","Alachua","Alice","12/18/1998",12,18,1998,3,486,540,11,6.8,NA,NA,NA,NA,"Alice Alachua"
"52","Alachua","Alice","02/07/1999",2,7,1999,1,545,510,12,5,NA,NA,NA,NA,"Alice Alachua"
"53","Alachua","Alice","02/07/1999",2,7,1999,2,555,460,12,4.3,NA,NA,NA,NA,"Alice Alachua"
"54","Alachua","Alice","02/07/1999",2,7,1999,3,545,450,12,4.8,NA,NA,NA,NA,"Alice Alachua"
"55","Alachua","Alice","03/27/1999",3,27,1999,1,446,500,6,5,NA,NA,NA,NA,"Alice Alachua"
"56","Alachua","Alice","03/27/1999",3,27,1999,2,435,500,3,5,NA,NA,NA,NA,"Alice Alachua"
"57","Alachua","Alice","03/27/1999",3,27,1999,3,444,570,11,5,NA,NA,NA,NA,"Alice Alachua"
"58","Alachua","Alice","04/25/1999",4,25,1999,1,454,530,7,NA,"Bottom (4.5)",NA,NA,NA,"Alice Alachua"
"59","Alachua","Alice","04/25/1999",4,25,1999,2,459,530,6,4.9,NA,NA,NA,NA,"Alice Alachua"
"60","Alachua","Alice","04/25/1999",4,25,1999,3,426,520,8,5.1,NA,NA,NA,NA,"Alice Alachua"
"61","Alachua","Alice","06/12/1999",6,12,1999,1,548,670,14,3.2,NA,NA,NA,NA,"Alice Alachua"
"62","Alachua","Alice","06/12/1999",6,12,1999,2,541,690,15,3.2,NA,NA,NA,NA,"Alice Alachua"
"63","Alachua","Alice","06/12/1999",6,12,1999,3,557,690,14,3.5,NA,NA,NA,NA,"Alice Alachua"
"64","Alachua","Alice","07/25/1999",7,25,1999,1,395,500,16,NA,"Bottom (3.8)",NA,NA,NA,"Alice Alachua"
"65","Alachua","Alice","07/25/1999",7,25,1999,2,402,570,16,3.3,NA,NA,NA,NA,"Alice Alachua"
"66","Alachua","Alice","07/25/1999",7,25,1999,3,379,530,12,3.3,NA,NA,NA,NA,"Alice Alachua"
"67","Alachua","Alice","08/29/1999",8,29,1999,1,419,630,12,4.7,NA,NA,NA,NA,"Alice Alachua"
"68","Alachua","Alice","08/29/1999",8,29,1999,2,408,440,11,3.7,NA,NA,NA,NA,"Alice Alachua"
"69","Alachua","Alice","08/29/1999",8,29,1999,3,398,530,13,5.3,NA,NA,NA,NA,"Alice Alachua"
"70","Alachua","Alice","10/03/1999",10,3,1999,1,508,700,15,4.8,NA,NA,NA,NA,"Alice Alachua"
"71","Alachua","Alice","10/03/1999",10,3,1999,2,494,580,14,5.2,NA,NA,NA,NA,"Alice Alachua"
"72","Alachua","Alice","10/03/1999",10,3,1999,3,521,600,14,5,NA,NA,NA,NA,"Alice Alachua"
"73","Alachua","Alice","11/28/1999",11,28,1999,1,403,700,16,4.8,NA,NA,NA,NA,"Alice Alachua"
"74","Alachua","Alice","11/28/1999",11,28,1999,2,415,640,18,4.3,NA,NA,NA,NA,"Alice Alachua"
"75","Alachua","Alice","11/28/1999",11,28,1999,3,438,730,15,5.7,NA,NA,NA,NA,"Alice Alachua"
"76","Alachua","Alice","02/27/2000",2,27,2000,1,425,630,10,4.8,NA,NA,NA,NA,"Alice Alachua"
"77","Alachua","Alice","02/27/2000",2,27,2000,2,409,670,10,4.8,NA,NA,NA,NA,"Alice Alachua"
"78","Alachua","Alice","02/27/2000",2,27,2000,3,404,690,11,5.6,NA,NA,NA,NA,"Alice Alachua"
"79","Alachua","Alice","04/30/2000",4,30,2000,1,480,530,11,NA,"Bottom (5.5)",NA,NA,NA,"Alice Alachua"
"80","Alachua","Alice","04/30/2000",4,30,2000,2,507,630,12,5,NA,NA,NA,NA,"Alice Alachua"
"81","Alachua","Alice","04/30/2000",4,30,2000,3,480,580,13,5.5,NA,NA,NA,NA,"Alice Alachua"
"82","Alachua","Alice","05/28/2000",5,28,2000,1,513,690,15,3.2,NA,NA,NA,NA,"Alice Alachua"
"83","Alachua","Alice","05/28/2000",5,28,2000,2,533,680,15,2.8,NA,NA,NA,NA,"Alice Alachua"
"84","Alachua","Alice","05/28/2000",5,28,2000,3,537,730,16,2.9,NA,NA,NA,NA,"Alice Alachua"
"85","Alachua","Alice","06/18/2000",6,18,2000,1,471,1250,52,2.2,NA,NA,NA,NA,"Alice Alachua"
"86","Alachua","Alice","06/18/2000",6,18,2000,2,481,1280,54,2.3,NA,NA,NA,NA,"Alice Alachua"
"87","Alachua","Alice","06/18/2000",6,18,2000,3,434,1260,55,2.4,NA,NA,NA,NA,"Alice Alachua"
"88","Alachua","Alice","09/24/2000",9,24,2000,1,474,540,15,3.6,NA,NA,NA,NA,"Alice Alachua"
"89","Alachua","Alice","09/24/2000",9,24,2000,2,472,550,18,4.1,NA,NA,NA,NA,"Alice Alachua"
"90","Alachua","Alice","09/24/2000",9,24,2000,3,468,530,18,3.8,NA,NA,NA,NA,"Alice Alachua"
"91","Alachua","Alice","10/29/2000",10,29,2000,1,368,720,11,3.8,NA,NA,NA,NA,"Alice Alachua"
"92","Alachua","Alice","10/29/2000",10,29,2000,2,348,820,13,3.6,NA,NA,NA,NA,"Alice Alachua"
"93","Alachua","Alice","10/29/2000",10,29,2000,3,365,690,12,3.5,NA,NA,NA,NA,"Alice Alachua"
"94","Alachua","Alice","06/03/2001",6,3,2001,1,460,690,9,NA,"Bottom (4.5)",NA,NA,NA,"Alice Alachua"
"95","Alachua","Alice","06/03/2001",6,3,2001,2,477,650,10,NA,"Bottom (6.0)",NA,NA,NA,"Alice Alachua"
"96","Alachua","Alice","06/03/2001",6,3,2001,3,467,660,10,6.5,NA,NA,NA,NA,"Alice Alachua"
"97","Alachua","Alice","07/21/2002",7,21,2002,1,325,520,14,5.2,NA,36,NA,NA,"Alice Alachua"
"98","Alachua","Alice","07/21/2002",7,21,2002,2,335,710,10,5.4,NA,NA,NA,NA,"Alice Alachua"
"99","Alachua","Alice","07/21/2002",7,21,2002,3,447,810,30,4.6,NA,NA,NA,NA,"Alice Alachua"
"100","Alachua","Alice","11/09/2002",11,9,2002,1,355,550,10,NA,NA,35,NA,NA,"Alice Alachua"
"101","Alachua","Alice","11/09/2002",11,9,2002,2,362,480,5,NA,NA,NA,NA,NA,"Alice Alachua"
"102","Alachua","Alice","11/09/2002",11,9,2002,3,364,470,4,10.6,NA,NA,NA,NA,"Alice Alachua"
"103","Alachua","Alice","04/13/2003",4,13,2003,1,586,710,8,5.8,NA,58,NA,NA,"Alice Alachua"
"104","Alachua","Alice","04/13/2003",4,13,2003,2,591,670,6,6.2,NA,NA,NA,NA,"Alice Alachua"
"105","Alachua","Alice","04/13/2003",4,13,2003,3,606,660,10,5.4,NA,NA,NA,NA,"Alice Alachua"
"106","Alachua","Alice","05/25/2003",5,25,2003,1,502,630,6,NA,"Weeds",NA,NA,NA,"Alice Alachua"
"107","Alachua","Alice","05/25/2003",5,25,2003,2,503,670,5,6.5,NA,NA,NA,NA,"Alice Alachua"
"108","Alachua","Alice","05/25/2003",5,25,2003,3,523,670,5,7.5,NA,NA,NA,NA,"Alice Alachua"
"109","Alachua","Alice","10/18/2003",10,18,2003,1,325,600,7,NA,NA,29,NA,NA,"Alice Alachua"
"110","Alachua","Alice","10/18/2003",10,18,2003,2,383,530,9,NA,NA,NA,NA,NA,"Alice Alachua"
"111","Alachua","Alice","10/18/2003",10,18,2003,3,372,600,3,NA,NA,NA,NA,NA,"Alice Alachua"
"112","Alachua","Alice","03/21/2004",3,21,2004,1,661,570,8,NA,NA,34,NA,NA,"Alice Alachua"
"113","Alachua","Alice","03/21/2004",3,21,2004,2,470,460,6,NA,NA,NA,NA,NA,"Alice Alachua"
"114","Alachua","Alice","03/21/2004",3,21,2004,3,481,500,6,6.4,NA,NA,NA,NA,"Alice Alachua"
"115","Alachua","Alice","09/28/2004",9,28,2004,1,461,620,14,NA,NA,39,NA,NA,"Alice Alachua"
"116","Alachua","Alice","09/28/2004",9,28,2004,2,472,610,47,NA,NA,NA,NA,NA,"Alice Alachua"
"117","Alachua","Alice","09/28/2004",9,28,2004,3,466,540,41,4.1,NA,NA,NA,NA,"Alice Alachua"
"118","Alachua","Alice","11/11/2004",11,11,2004,1,578,740,10,NA,"Bottom (4.1)",32,NA,NA,"Alice Alachua"
"119","Alachua","Alice","11/11/2004",11,11,2004,2,587,580,11,NA,"Bottom (5.0)",NA,NA,NA,"Alice Alachua"
"120","Alachua","Alice","11/11/2004",11,11,2004,3,566,730,11,6.3,NA,NA,NA,NA,"Alice Alachua"
"121","Alachua","Alice","01/16/2005",1,16,2005,1,596,800,9,NA,"Bottom (4.8)",30,NA,NA,"Alice Alachua"
"122","Alachua","Alice","01/16/2005",1,16,2005,2,618,820,9,NA,"Bottom (6.0)",NA,NA,NA,"Alice Alachua"
"123","Alachua","Alice","01/16/2005",1,16,2005,3,612,810,11,5.5,NA,NA,NA,NA,"Alice Alachua"
"124","Alachua","Alice","05/16/2005",5,16,2005,1,545,570,3,4.6,NA,34,NA,NA,"Alice Alachua"
"125","Alachua","Alice","05/16/2005",5,16,2005,2,545,830,4,5,NA,NA,NA,NA,"Alice Alachua"
"126","Alachua","Alice","05/16/2005",5,16,2005,3,532,750,5,5.6,NA,NA,NA,NA,"Alice Alachua"
"127","Alachua","Alice","08/09/2005",8,9,2005,1,495,590,19,3.5,NA,38,NA,NA,"Alice Alachua"
"128","Alachua","Alice","08/09/2005",8,9,2005,2,497,540,16,4,NA,NA,NA,NA,"Alice Alachua"
"129","Alachua","Alice","08/09/2005",8,9,2005,3,473,540,10,4.5,NA,NA,NA,NA,"Alice Alachua"
"130","Alachua","Alice","11/16/2005",11,16,2005,1,477,830,12,3.4,NA,34,NA,NA,"Alice Alachua"
"131","Alachua","Alice","11/16/2005",11,16,2005,2,472,680,13,3.9,NA,NA,NA,NA,"Alice Alachua"
"132","Alachua","Alice","11/16/2005",11,16,2005,3,465,690,12,3.9,NA,NA,NA,NA,"Alice Alachua"
"133","Alachua","Alice","08/16/2006",8,16,2006,1,553,1250,26,2.1,NA,36,NA,NA,"Alice Alachua"
"134","Alachua","Alice","08/16/2006",8,16,2006,2,577,1340,27,1.9,NA,NA,NA,NA,"Alice Alachua"
"135","Alachua","Alice","08/16/2006",8,16,2006,3,571,1140,28,2.1,NA,NA,NA,NA,"Alice Alachua"
"136","Alachua","Alice","10/17/2006",10,17,2006,1,574,950,22,2.5,NA,40,NA,NA,"Alice Alachua"
"137","Alachua","Alice","10/17/2006",10,17,2006,2,552,970,24,2.5,NA,NA,NA,NA,"Alice Alachua"
"138","Alachua","Alice","10/17/2006",10,17,2006,3,554,760,24,2.6,NA,NA,NA,NA,"Alice Alachua"
"139","Alachua","Alice","04/20/2007",4,20,2007,1,686,1200,21,2.6,NA,33,349,NA,"Alice Alachua"
"140","Alachua","Alice","04/20/2007",4,20,2007,2,675,1130,22,3.4,NA,NA,NA,NA,"Alice Alachua"
"141","Alachua","Alice","04/20/2007",4,20,2007,3,694,980,20,3.3,NA,NA,NA,NA,"Alice Alachua"
"142","Alachua","Alice","10/31/2019",10,31,2019,1,509,630,10,4,NA,34,262,NA,"Alice Alachua"
"143","Alachua","Alice","10/31/2019",10,31,2019,2,519,570,9,5,NA,NA,NA,NA,"Alice Alachua"
"144","Alachua","Alice","10/31/2019",10,31,2019,3,495,530,8,6,NA,NA,NA,NA,"Alice Alachua"
"145","Alachua","Alto","12/30/1987",12,30,1987,1,12,570,8,5.8,NA,NA,NA,NA,"Alto Alachua"
"146","Alachua","Alto","12/30/1987",12,30,1987,2,14,590,9,5.8,NA,NA,NA,NA,"Alto Alachua"
"147","Alachua","Alto","12/30/1987",12,30,1987,3,15,540,9,5.3,NA,NA,NA,NA,"Alto Alachua"
"148","Alachua","Alto","04/17/1988",4,17,1988,1,8,590,5,4.6,NA,NA,NA,NA,"Alto Alachua"
"149","Alachua","Alto","04/17/1988",4,17,1988,2,NA,NA,5,NA,NA,NA,NA,NA,"Alto Alachua"
"150","Alachua","Alto","04/17/1988",4,17,1988,3,16,530,4,NA,NA,NA,NA,NA,"Alto Alachua"
"151","Alachua","Alto","05/15/1988",5,15,1988,1,16,540,8,3.3,NA,NA,NA,NA,"Alto Alachua"
"152","Alachua","Alto","05/15/1988",5,15,1988,2,13,500,8,3.3,NA,NA,NA,NA,"Alto Alachua"
"153","Alachua","Alto","05/15/1988",5,15,1988,3,15,550,5,3.3,NA,NA,NA,NA,"Alto Alachua"
"154","Alachua","Alto","06/12/1988",6,12,1988,1,15,440,22,3.9,NA,NA,NA,NA,"Alto Alachua"
"155","Alachua","Alto","06/12/1988",6,12,1988,2,15,550,21,3.9,NA,NA,NA,NA,"Alto Alachua"
"156","Alachua","Alto","06/12/1988",6,12,1988,3,9,550,20,4.3,NA,NA,NA,NA,"Alto Alachua"
"157","Alachua","Alto","07/17/1988",7,17,1988,1,22,710,20,4.9,NA,NA,NA,NA,"Alto Alachua"
"158","Alachua","Alto","07/17/1988",7,17,1988,2,18,610,17,4.9,NA,NA,NA,NA,"Alto Alachua"
"159","Alachua","Alto","07/17/1988",7,17,1988,3,20,630,19,4.9,NA,NA,NA,NA,"Alto Alachua"
"160","Alachua","Alto","08/14/1988",8,14,1988,1,12,500,22,4.9,NA,NA,NA,NA,"Alto Alachua"
"161","Alachua","Alto","08/14/1988",8,14,1988,2,13,490,24,4.9,NA,NA,NA,NA,"Alto Alachua"
"162","Alachua","Alto","08/14/1988",8,14,1988,3,12,540,NA,4.9,NA,NA,NA,NA,"Alto Alachua"
"163","Alachua","Alto","09/17/1988",9,17,1988,1,15,550,NA,6,NA,NA,NA,NA,"Alto Alachua"
"164","Alachua","Alto","09/17/1988",9,17,1988,2,5,560,13,5.8,NA,NA,NA,NA,"Alto Alachua"
"165","Alachua","Alto","09/17/1988",9,17,1988,3,16,620,9,5.5,NA,NA,NA,NA,"Alto Alachua"
"166","Alachua","Alto","10/15/1988",10,15,1988,1,NA,490,7,5.2,NA,NA,NA,NA,"Alto Alachua"
"167","Alachua","Alto","10/15/1988",10,15,1988,2,8,480,14,5.2,NA,NA,NA,NA,"Alto Alachua"
"168","Alachua","Alto","10/15/1988",10,15,1988,3,5,480,9,5.2,NA,NA,NA,NA,"Alto Alachua"
"169","Alachua","Alto","11/13/1988",11,13,1988,1,6,490,6,6.2,NA,NA,NA,NA,"Alto Alachua"
"170","Alachua","Alto","11/13/1988",11,13,1988,2,6,500,9,5.9,NA,NA,NA,NA,"Alto Alachua"
"171","Alachua","Alto","11/13/1988",11,13,1988,3,19,690,37,5.6,NA,NA,NA,NA,"Alto Alachua"
"172","Alachua","Alto","12/18/1988",12,18,1988,1,8,420,5,5.9,NA,NA,NA,NA,"Alto Alachua"
"173","Alachua","Alto","12/18/1988",12,18,1988,2,7,550,6,5.9,NA,NA,NA,NA,"Alto Alachua"
"174","Alachua","Alto","12/18/1988",12,18,1988,3,8,470,7,5.9,NA,NA,NA,NA,"Alto Alachua"
"175","Alachua","Alto","01/14/1989",1,14,1989,1,11,450,6,5.9,NA,NA,NA,NA,"Alto Alachua"
"176","Alachua","Alto","01/14/1989",1,14,1989,2,11,380,6,5.9,NA,NA,NA,NA,"Alto Alachua"
"177","Alachua","Alto","01/14/1989",1,14,1989,3,11,440,6,5.9,NA,NA,NA,NA,"Alto Alachua"
"178","Alachua","Alto","02/11/1989",2,11,1989,1,12,580,6,5.2,NA,NA,NA,NA,"Alto Alachua"
"179","Alachua","Alto","02/11/1989",2,11,1989,2,12,530,5,5.2,NA,NA,NA,NA,"Alto Alachua"
"180","Alachua","Alto","02/11/1989",2,11,1989,3,12,440,7,5.2,NA,NA,NA,NA,"Alto Alachua"
"181","Alachua","Alto","03/12/1989",3,12,1989,1,13,440,9,3.3,NA,NA,NA,NA,"Alto Alachua"
"182","Alachua","Alto","03/12/1989",3,12,1989,2,14,620,10,3.6,NA,NA,NA,NA,"Alto Alachua"
"183","Alachua","Alto","03/12/1989",3,12,1989,3,20,500,9,3.6,NA,NA,NA,NA,"Alto Alachua"
"184","Alachua","Alto","04/17/1989",4,17,1989,1,19,580,14,3.9,NA,NA,NA,NA,"Alto Alachua"
"185","Alachua","Alto","04/17/1989",4,17,1989,2,19,680,19,3.9,NA,NA,NA,NA,"Alto Alachua"
"186","Alachua","Alto","04/17/1989",4,17,1989,3,21,560,17,3.9,NA,NA,NA,NA,"Alto Alachua"
"187","Alachua","Alto","05/14/1989",5,14,1989,1,22,600,13,3.9,NA,NA,NA,NA,"Alto Alachua"
"188","Alachua","Alto","05/14/1989",5,14,1989,2,18,620,12,3.9,NA,NA,NA,NA,"Alto Alachua"
"189","Alachua","Alto","05/14/1989",5,14,1989,3,20,620,13,3.9,NA,NA,NA,NA,"Alto Alachua"
"190","Alachua","Alto","06/25/1989",6,25,1989,1,20,630,23,4.2,NA,NA,NA,NA,"Alto Alachua"
"191","Alachua","Alto","06/25/1989",6,25,1989,2,19,650,20,4.2,NA,NA,NA,NA,"Alto Alachua"
"192","Alachua","Alto","06/25/1989",6,25,1989,3,19,650,21,4.2,NA,NA,NA,NA,"Alto Alachua"
"193","Alachua","Alto","07/16/1989",7,16,1989,1,12,620,10,5.2,NA,NA,NA,NA,"Alto Alachua"
"194","Alachua","Alto","07/16/1989",7,16,1989,2,14,560,13,5.2,NA,NA,NA,NA,"Alto Alachua"
"195","Alachua","Alto","07/16/1989",7,16,1989,3,14,560,15,5.2,NA,NA,NA,NA,"Alto Alachua"
"196","Alachua","Alto","08/13/1989",8,13,1989,1,10,640,10,5.6,NA,NA,NA,NA,"Alto Alachua"
"197","Alachua","Alto","08/13/1989",8,13,1989,2,10,650,10,5.6,NA,NA,NA,NA,"Alto Alachua"
"198","Alachua","Alto","08/13/1989",8,13,1989,3,12,590,11,5.6,NA,NA,NA,NA,"Alto Alachua"
"199","Alachua","Alto","09/17/1989",9,17,1989,1,12,480,8,7.2,NA,NA,NA,NA,"Alto Alachua"
"200","Alachua","Alto","09/17/1989",9,17,1989,2,12,380,8,6.8,NA,NA,NA,NA,"Alto Alachua"
"201","Alachua","Alto","09/17/1989",9,17,1989,3,11,510,8,7.2,NA,NA,NA,NA,"Alto Alachua"
"202","Alachua","Alto","10/15/1989",10,15,1989,1,8,NA,9,6.5,NA,NA,NA,NA,"Alto Alachua"
"203","Alachua","Alto","10/15/1989",10,15,1989,2,7,NA,8,6.5,NA,NA,NA,NA,"Alto Alachua"
"204","Alachua","Alto","10/15/1989",10,15,1989,3,NA,NA,9,6.5,NA,NA,NA,NA,"Alto Alachua"
"205","Alachua","Alto","12/16/1989",12,16,1989,1,16,600,9,5.6,NA,NA,NA,NA,"Alto Alachua"
"206","Alachua","Alto","12/16/1989",12,16,1989,2,15,590,10,5.9,NA,NA,NA,NA,"Alto Alachua"
"207","Alachua","Alto","12/16/1989",12,16,1989,3,14,560,10,5.9,NA,NA,NA,NA,"Alto Alachua"
"208","Alachua","Alto","01/06/1990",1,6,1990,1,10,420,3,9.1,NA,NA,NA,NA,"Alto Alachua"
"209","Alachua","Alto","01/06/1990",1,6,1990,2,9,450,3,9.1,NA,NA,NA,NA,"Alto Alachua"
"210","Alachua","Alto","01/06/1990",1,6,1990,3,8,430,3,9.5,NA,NA,NA,NA,"Alto Alachua"
"211","Alachua","Alto","02/18/1990",2,18,1990,1,12,520,3,6.5,NA,NA,NA,NA,"Alto Alachua"
"212","Alachua","Alto","02/18/1990",2,18,1990,2,8,460,4,6.5,NA,NA,NA,NA,"Alto Alachua"
"213","Alachua","Alto","02/18/1990",2,18,1990,3,10,470,4,6.5,NA,NA,NA,NA,"Alto Alachua"
"214","Alachua","Alto","03/18/1990",3,18,1990,1,11,540,2,4.6,NA,NA,NA,NA,"Alto Alachua"
"215","Alachua","Alto","03/18/1990",3,18,1990,2,15,520,3,4.6,NA,NA,NA,NA,"Alto Alachua"
"216","Alachua","Alto","03/18/1990",3,18,1990,3,11,590,3,4.6,NA,NA,NA,NA,"Alto Alachua"
"217","Alachua","Alto","04/14/1990",4,14,1990,1,15,510,NA,4.3,NA,NA,NA,NA,"Alto Alachua"
"218","Alachua","Alto","04/14/1990",4,14,1990,2,19,550,NA,4.3,NA,NA,NA,NA,"Alto Alachua"
"219","Alachua","Alto","04/14/1990",4,14,1990,3,20,510,NA,4.3,NA,NA,NA,NA,"Alto Alachua"
"220","Alachua","Alto","05/20/1990",5,20,1990,1,18,600,7,6.6,NA,NA,NA,NA,"Alto Alachua"
"221","Alachua","Alto","05/20/1990",5,20,1990,2,21,530,7,6.6,NA,NA,NA,NA,"Alto Alachua"
"222","Alachua","Alto","05/20/1990",5,20,1990,3,16,570,9,6.6,NA,NA,NA,NA,"Alto Alachua"
"223","Alachua","Alto","06/16/1990",6,16,1990,1,18,550,10,6.2,NA,NA,NA,NA,"Alto Alachua"
"224","Alachua","Alto","06/16/1990",6,16,1990,2,18,620,10,5.9,NA,NA,NA,NA,"Alto Alachua"
"225","Alachua","Alto","06/16/1990",6,16,1990,3,16,560,9,6.2,NA,NA,NA,NA,"Alto Alachua"
"226","Alachua","Alto","07/15/1990",7,15,1990,1,24,810,16,4.9,NA,NA,NA,NA,"Alto Alachua"
"227","Alachua","Alto","07/15/1990",7,15,1990,2,20,780,14,4.9,NA,NA,NA,NA,"Alto Alachua"
"228","Alachua","Alto","07/15/1990",7,15,1990,3,22,760,15,4.9,NA,NA,NA,NA,"Alto Alachua"
"229","Alachua","Alto","08/19/1990",8,19,1990,1,18,590,10,5.9,NA,NA,NA,NA,"Alto Alachua"
"230","Alachua","Alto","08/19/1990",8,19,1990,2,16,620,11,5.9,NA,NA,NA,NA,"Alto Alachua"
