"","Study","County","Lake","Waterbody Name","Station","STATIONID","STATION_ID","Monitoring Location Name (35 or less)","Water Management District","GNIS_ID","water type","WIN Secondary Type","GPS Source","Lat deg","Lat min","Lat sec","Long deg","Long min","Long sec","Formula Latitude","Formula Longitude","Latitude","Longitude","Region Number","Region Name","Geologic formation","Geologic formation description","Physiographic region","Physiographic region descriptio","SA (acres)","SA (hectare)","SA Citation","TP Zone","TP 75th","TP 80th","TP 85th","TP 90th","TN Zone","TN 75th","TN 80th","TN 85th","TN 90th","Nutrient Watershed Region","Esturary","Esturary Segment","Narrative Nutrient Criteria Waters","Coastal Nutrient Region","Coastal Nutrient Segment","Site Specific Interpretations of the NNC","Lake_County"
"11","LW","Alachua","Bonnet",NA,"2","Ala-Bonnet-2","ALA-BONNET-2","Alachua-Bonnet-2","St. Johns River",279221,"Lake","Lake","Garmin GPS","29","43","26.5","82","5","45.9","29.724027777777778","-82.09608333333334",29.7240277777778,-82.0960833333333,"75-03","Upper Santa Fe Flatwoods","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District",".",".",NA,"TP3",26,30,34,45,"TN3",820,876,967,1087,NA,NA,NA,NA,NA,NA,NA,"Bonnet Alachua"
"12","LW","Alachua","Bonnet",NA,"3","Ala-Bonnet-3","ALA-BONNET-3","Alachua-Bonnet-3","St. Johns River",279221,"Lake","Lake","Garmin GPS","29","43","31.1","82","5","42.2","29.725305555555554","-82.095055555555561",29.7253055555556,-82.0950555555556,"75-03","Upper Santa Fe Flatwoods","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District",".",".",NA,"TP3",26,30,34,45,"TN3",820,876,967,1087,NA,NA,NA,NA,NA,NA,NA,"Bonnet Alachua"
"13","LW","Alachua","Calf Pond",NA,"1","Ala-CalfP-1","ALA-CALFP-1","Alachua-Calf Pond-1","St. Johns River",279829,"Lake","Lake","Garmin GPS","29","37","41.3","82","17","15.4","29.628138888888888","-82.287611111111104",29.6281388888889,-82.2876111111111,"75-08","Central Valley","Mh3","The geology is dominated by phosphatic sand, silty sand, and clay of the Hawthorne Formation","OU 5e4","The lake lies in the Alachua Prairies subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","14","5.7","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Calf Pond Alachua"
"14","LW","Alachua","Calf Pond",NA,"2","Ala-CalfP-2","ALA-CALFP-2","Alachua-Calf Pond-2","St. Johns River",279829,"Lake","Lake","Garmin GPS","29","37","42.5","82","17","10.5","29.628472222222221","-82.286249999999995",29.6284722222222,-82.28625,"75-08","Central Valley","Mh3","The geology is dominated by phosphatic sand, silty sand, and clay of the Hawthorne Formation","OU 5e4","The lake lies in the Alachua Prairies subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","14","5.7","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Calf Pond Alachua"
"15","LW","Alachua","Calf Pond",NA,"3","Ala-CalfP-3","ALA-CALFP-3","Alachua-Calf Pond-3","St. Johns River",279829,"Lake","Lake","Garmin GPS","29","37","40.299999999999997","82","17","12.3","29.627861111111113","-82.286749999999998",29.6278611111111,-82.28675,"75-08","Central Valley","Mh3","The geology is dominated by phosphatic sand, silty sand, and clay of the Hawthorne Formation","OU 5e4","The lake lies in the Alachua Prairies subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","14","5.7","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Calf Pond Alachua"
"16","LW","Alachua","Clear",NA,"1","Ala-Clear-1","ALA-CLEAR-1","Alachua-Clear-1","St. Johns River",280534,"Lake","Lake","Street Atlas","29","39","7.2","82","23","31.2","29.652000000000001","-82.391999999999996",29.652,-82.392,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District","10","4","(Shafer et al. 1986)","TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Clear Alachua"
"17","LW","Alachua","Clear",NA,"2","Ala-Clear-2","ALA-CLEAR-2","Alachua-Clear-2","St. Johns River",280534,"Lake","Lake","Street Atlas","29","39","4.0999999999999996","82","23","28.1","29.651138888888887","-82.391138888888889",29.6511388888889,-82.3911388888889,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District","10","4","(Shafer et al. 1986)","TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Clear Alachua"
"18","LW","Alachua","Clear",NA,"3","Ala-Clear-3","ALA-CLEAR-3","Alachua-Clear-3","St. Johns River",280534,"Lake","Lake","Street Atlas","29","39","1.4","82","23","26.5","29.650388888888887","-82.390694444444449",29.6503888888889,-82.3906944444444,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District","10","4","(Shafer et al. 1986)","TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Clear Alachua"
"19","LW","Alachua","Dean Pond",NA,"1","Ala-Dean Pond-1","ALA-DEAN POND-1","Alachua-Dean Pond-1","St. Johns River",281403,"Lake","Lake","Garmin GPS","29","29","44.52","82","3","29.46","29.495699999999999","-82.058183333333332",29.4957,-82.0581833333333,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4c","The lake lies in the St John’s Offset division of the Central Lake District",".",".",NA,"TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Dean Pond Alachua"
"20","LW","Alachua","Dean Pond",NA,"2","Ala-Dean Pond-2","ALA-DEAN POND-2","Alachua-Dean Pond-2","St. Johns River",281403,"Lake","Lake","Garmin GPS","29","29","45.06","82","3","31.74","29.495850000000001","-82.058816666666672",29.49585,-82.0588166666667,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4c","The lake lies in the St John’s Offset division of the Central Lake District",".",".",NA,"TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Dean Pond Alachua"
"21","LW","Alachua","Dean Pond",NA,"3","Ala-Dean Pond-3","ALA-DEAN POND-3","Alachua-Dean Pond-3","St. Johns River",281403,"Lake","Lake","Garmin GPS","29","29","44.88","82","3","34.020000000000003","29.495799999999999","-82.059449999999998",29.4958,-82.05945,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4c","The lake lies in the St John’s Offset division of the Central Lake District",".",".",NA,"TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Dean Pond Alachua"
"22","LW","Alachua","Deep Spring Pond",NA,"1","Ala-DeepSpPd-1","ALA-DEEPSPPD-1","Alachua-Deep Spring Pond-1","St. Johns River",NA,"Lake","Lake","Google Earth","29","55","46.91","82","31","8.32","29.929697222222224","-82.518977777777778",29.9296972222222,-82.5189777777778,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g2","The lake lies in the Rose Creek Scarp subdivision of the Northern Peninsual Plains division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Deep Spring Pond Alachua"
"23","LW","Alachua","Deep Spring Pond",NA,"2","Ala-DeepSpPd-2","ALA-DEEPSPPD-2","Alachua-Deep Spring Pond-2","St. Johns River",NA,"Lake","Lake","Google Earth","29","55","45.84","82","31","7.98","29.929400000000001","-82.518883333333335",29.9294,-82.5188833333333,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g2","The lake lies in the Rose Creek Scarp subdivision of the Northern Peninsual Plains division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Deep Spring Pond Alachua"
"24","LW","Alachua","Elizabeth",NA,"1","Ala-Elizabeth-1","ALA-ELIZABETH-1","Alachua-Elizabeth-1","St. Johns River",282164,"Lake","Lake","Garmin GPS","29","42","0.7","82","5","30.6","29.700194444444445","-82.091833333333327",29.7001944444444,-82.0918333333333,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District","115","46","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Elizabeth Alachua"
"25","LW","Alachua","Elizabeth",NA,"2","Ala-Elizabeth-2","ALA-ELIZABETH-2","Alachua-Elizabeth-2","St. Johns River",282164,"Lake","Lake","Garmin GPS","29","41","53.7","82","5","44.3","29.698250000000002","-82.095638888888885",29.69825,-82.0956388888889,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District","115","46","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Elizabeth Alachua"
"26","LW","Alachua","Elizabeth",NA,"3","Ala-Elizabeth-3","ALA-ELIZABETH-3","Alachua-Elizabeth-3","St. Johns River",282164,"Lake","Lake","Garmin GPS","29","41","49.9","82","5","37.799999999999997","29.697194444444445","-82.093833333333336",29.6971944444444,-82.0938333333333,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District","115","46","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Elizabeth Alachua"
"27","LW","Alachua","Gwynn Oaks",NA,"1","Ala-GwynnOak-1","ALA-GWYNNOAK-1","Alachua-Gwynn Oaks-1","St. Johns River",NA,"Lake","Lake","Street Atlas","29","39","9","82","23","21.4","29.6525","-82.389277777777778",29.6525,-82.3892777777778,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Gwynn Oaks Alachua"
"28","LW","Alachua","Gwynn Oaks",NA,"2","Ala-GwynnOak-2","ALA-GWYNNOAK-2","Alachua-Gwynn Oaks-2","St. Johns River",NA,"Lake","Lake","Google Earth","29","39","6.2","82","23","18","29.651722222222222","-82.388333333333335",29.6525,-82.3888611111111,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Gwynn Oaks Alachua"
"29","LW","Alachua","Gwynn Oaks",NA,"3","Ala-GwynnOak-3","ALA-GWYNNOAK-3","Alachua-Gwynn Oaks-3","St. Johns River",NA,"Lake","Lake","Street Atlas","29","39","9","82","23","18.8","29.6525","-82.388555555555556",29.6525,-82.3885555555556,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Gwynn Oaks Alachua"
"30","LW","Alachua","Hammocks",NA,"1","Ala-Hammocks-1","ALA-HAMMOCKS-1","Alachua-Hammocks-1","St. Johns River",NA,"Lake","Lake","Garmin GPS","29","42","24.4","82","26","34.5","29.706777777777777","-82.442916666666662",29.7067777777778,-82.4429166666667,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5a3","The lake lies in the Cherry Lake Hills subdivision of the State Line Hills division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Hammocks Alachua"
"31","LW","Alachua","Hammocks",NA,"2","Ala-Hammocks-2","ALA-HAMMOCKS-2","Alachua-Hammocks-2","St. Johns River",NA,"Lake","Lake","Garmin GPS","29","42","27","82","26","31","29.7075","-82.441944444444445",29.7075,-82.4419444444444,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5a3","The lake lies in the Cherry Lake Hills subdivision of the State Line Hills division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Hammocks Alachua"
"32","LW","Alachua","Hammocks",NA,"3","Ala-Hammocks-3","ALA-HAMMOCKS-3","Alachua-Hammocks-3","St. Johns River",NA,"Lake","Lake","Garmin GPS","29","42","28.5","82","26","28.8","29.707916666666666","-82.441333333333333",29.7079166666667,-82.4413333333333,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5a3","The lake lies in the Cherry Lake Hills subdivision of the State Line Hills division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Hammocks Alachua"
"33","LW","Alachua","Hidden",NA,"1","Ala-Hidden-1","ALA-HIDDEN-1","Alachua-Hidden-1","St. Johns River",NA,"Lake","Lake","Garmin GPS","29","43","21.24","82","21","2.2799999999999998","29.722566666666665","-82.350633333333334",29.7225666666667,-82.3506333333333,"75-08","Central Valley","pbv","The geology is dominated by phosphatic sand, clayey fine sand, and clay of the Bone Valley Formation","si 1d","The lake lies in the High Flatwoods division of the Sea Island District","9","4","(LAKEWATCH)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Hidden Alachua"
"34","LW","Alachua","Hidden",NA,"2","Ala-Hidden-2","ALA-HIDDEN-2","Alachua-Hidden-2","St. Johns River",NA,"Lake","Lake","Garmin GPS","29","43","18.420000000000002","82","21","1.68","29.721783333333335","-82.350466666666662",29.7217833333333,-82.3504666666667,"75-08","Central Valley","pbv","The geology is dominated by phosphatic sand, clayey fine sand, and clay of the Bone Valley Formation","si 1d","The lake lies in the High Flatwoods division of the Sea Island District","9","4","(LAKEWATCH)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Hidden Alachua"
"35","LW","Alachua","Hidden",NA,"3","Ala-Hidden-3","ALA-HIDDEN-3","Alachua-Hidden-3","St. Johns River",NA,"Lake","Lake","Garmin GPS","29","43","19.8","82","21","4.68","29.722166666666666","-82.351299999999995",29.7221666666667,-82.3513,"75-08","Central Valley","pbv","The geology is dominated by phosphatic sand, clayey fine sand, and clay of the Bone Valley Formation","si 1d","The lake lies in the High Flatwoods division of the Sea Island District","9","4","(LAKEWATCH)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Hidden Alachua"
"36","LW","Alachua","Holden Pond",NA,"1","Ala-HoldenPo-1","ALA-HOLDENPO-1","Alachua-Holden Pond-1","St. Johns River",284137,"Lake","Lake","Garmin GPS","29","33","50","82","3","32","29.56388888888889","-82.058888888888887",29.5638888888889,-82.0588888888889,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","Cl 4c","The lake lies in the St John’s Offset division of the Central Lake District","80","32","(Dickinson et al. 1982)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Holden Pond Alachua"
"37","LW","Alachua","Holden Pond",NA,"2","Ala-HoldenPo-2","ALA-HOLDENPO-2","Alachua-Holden Pond-2","St. Johns River",284137,"Lake","Lake","Garmin GPS","29","33","52","82","3","38","29.564444444444444","-82.060555555555553",29.5644444444444,-82.0605555555556,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","Cl 4c","The lake lies in the St John’s Offset division of the Central Lake District","80","32","(Dickinson et al. 1982)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Holden Pond Alachua"
"38","LW","Alachua","Holden Pond",NA,"3","Ala-HoldenPo-3","ALA-HOLDENPO-3","Alachua-Holden Pond-3","St. Johns River",284137,"Lake","Lake","Garmin GPS","29","33","53","82","3","47","29.564722222222223","-82.06305555555555",29.5647222222222,-82.0630555555556,"75-08","Central Valley","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","Cl 4c","The lake lies in the St John’s Offset division of the Central Lake District","80","32","(Dickinson et al. 1982)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Holden Pond Alachua"
"39","LW","Alachua","Holly Forest",NA,"1","Ala-HollyFor-1","ALA-HOLLYFOR-1","Alachua-Holly Forest-1","St. Johns River",NA,"Lake","Lake","Street Atlas","29","38","45.8","82","23","15.1","29.646055555555556","-82.387527777777777",29.6460555555556,-82.3875277777778,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Holly Forest Alachua"
"40","LW","Alachua","Holly Forest",NA,"2","Ala-HollyFor-2","ALA-HOLLYFOR-2","Alachua-Holly Forest-2","St. Johns River",NA,"Lake","Lake","Google Earth","29","38","48.1","82","23","14.5","29.646694444444446","-82.387361111111105",29.6463055555556,-82.3875277777778,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Holly Forest Alachua"
"41","LW","Alachua","Holly Forest",NA,"3","Ala-HollyFor-3","ALA-HOLLYFOR-3","Alachua-Holly Forest-3","St. Johns River",NA,"Lake","Lake","Street Atlas","29","38","47.5","82","23","15.1","29.646527777777777","-82.387527777777777",29.6465277777778,-82.3875277777778,"65-06","Northern Peninsula Karst Plains","Mh1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Slopes division of the Ocala Uplift District",".",".",NA,"TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Holly Forest Alachua"
"42","LW","Alachua","Ironwood A",NA,"1","Ala-IronwoodA-1","ALA-IRONWOODA-1","Alachua-Ironwood A-1","St. Johns River",NA,"Lake","Lake","Street Atlas","29","41","17.8","82","17","30.4","29.688277777777778","-82.291777777777781",29.6882777777778,-82.2917777777778,"75-08","Central Valley","Mh3","The geology is dominated by phosphatic sand, silty sand, and clay of the Hawthorne Formation","si1d","The lake lies in the High Flatwoods subdivision of the Okefenokee Upland division of the Sea Island District",".",".",NA,"TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Ironwood A Alachua"
